Key,English(en),Japanese(ja),Thai(th)
0001.question,สิ่งมีชีวิตชนิดใดจัดอยู่ในอาณาจักร Fungi,สิ่งมีชีวิตชนิดใดจัดอยู่ในอาณาจักร Fungi,สิ่งมีชีวิตชนิดใดจัดอยู่ในอาณาจักร Fungi
0001.choice1,ยีสต์,ยีสต์,ยีสต์
0001.choice2,ไวรัส,ไวรัส,ไวรัส
0001.choice3,แบคทีเรีย,แบคทีเรีย,แบคทีเรีย
0001.choice4,สาหร่าย,สาหร่าย,สาหร่าย
0002.question,ส่วนใดของสมองที่ควบคุมการทรงตัว,ส่วนใดของสมองที่ควบคุมการทรงตัว,ส่วนใดของสมองที่ควบคุมการทรงตัว
0002.choice1,Cerebellum,Cerebellum,Cerebellum
0002.choice2,Hypothalamus,Hypothalamus,Hypothalamus
0002.choice3,Cerebrum,Cerebrum,Cerebrum
0002.choice4,Medulla,Medulla,Medulla
0003.question,สัตว์เลี้ยงลูกด้วยนมชนิดใดที่วางไข่,สัตว์เลี้ยงลูกด้วยนมชนิดใดที่วางไข่,สัตว์เลี้ยงลูกด้วยนมชนิดใดที่วางไข่
0003.choice1,ตุ่นปากเป็ด,ตุ่นปากเป็ด,ตุ่นปากเป็ด
0003.choice2,จระเข้,จระเข้,จระเข้
0003.choice3,โลมา,โลมา,โลมา
0003.choice4,ค้างคาว,ค้างคาว,ค้างคาว
0004.question,วิตามินชนิดใดที่ร่างกายสร้างเองเมื่อได้รับแสงแดด,วิตามินชนิดใดที่ร่างกายสร้างเองเมื่อได้รับแสงแดด,วิตามินชนิดใดที่ร่างกายสร้างเองเมื่อได้รับแสงแดด
0004.choice1,วิตามิน D,วิตามิน D,วิตามิน D
0004.choice2,วิตามิน A,วิตามิน A,วิตามิน A
0004.choice3,วิตามิน B,วิตามิน B,วิตามิน B
0004.choice4,วิตามิน C,วิตามิน C,วิตามิน C
0005.question,ความเร็วเสียงไวกว่าความเร็วแสง,ความเร็วเสียงไวกว่าความเร็วแสง,ความเร็วเสียงไวกว่าความเร็วแสง
0006.question,แม่เหล็กมีขั้วกี่ขั้ว,แม่เหล็กมีขั้วกี่ขั้ว,แม่เหล็กมีขั้วกี่ขั้ว
0007.question,แม่เหล็กขั้วเหนือจะผลักขั้วใต้เสมอ,แม่เหล็กขั้วเหนือจะผลักขั้วใต้เสมอ,แม่เหล็กขั้วเหนือจะผลักขั้วใต้เสมอ
0008.question,ธาตุใดที่มีเลขอะตอมเท่ากับ 1,ธาตุใดที่มีเลขอะตอมเท่ากับ 0,ธาตุใดที่มีเลขอะตอมเท่ากับ 1
0008.choice1,ไฮโดรเจน,ไฮโดรเจน,ไฮโดรเจน
0008.choice2,ฮีเลียม,ฮีเลียม,ฮีเลียม
0008.choice3,ลิเทียม,ลิเทียม,ลิเทียม
0008.choice4,ออกซิเจน,ออกซิเจน,ออกซิเจน
0009.question,เรียงธาตุที่มีเลขอะตอมจากมากไปน้อย,เรียงธาตุที่มีเลขอะตอมจากมากไปน้อย,เรียงธาตุที่มีเลขอะตอมจากมากไปน้อย
0009.choice1,ออกซิเจน,ออกซิเจน,ออกซิเจน
0009.choice2,ไนโตรเจน,ไนโตรเจน,ไนโตรเจน
0009.choice3,คาร์บอน,คาร์บอน,คาร์บอน
0010.question,1°C ร้อนกว่า 1°F,1°C ร้อนกว่า 1°F,1°C ร้อนกว่า 1°F
0011.question,ในอากาศมีแก๊สชนิดใดมากที่สุด,ในอากาศมีแก๊สชนิดใดมากที่สุด,ในอากาศมีแก๊สชนิดใดมากที่สุด
0011.choice1,ไนโตรเจน,ไนโตรเจน,ไนโตรเจน
0011.choice2,ออกซิเจน,ออกซิเจน,ออกซิเจน
