NO,QUESTION,CHOICE 1,CHOICE 2,CHOICE 3,CHOICE 4,TYPE,LEVEL,CATEGORY 1,CATEGORY 2,LOCATION
0001,สิ่งมีชีวิตชนิดใดจัดอยู่ในอาณาจักร Fungi,ยีสต์,ไวรัส,แบคทีเรีย,สาหร่าย,4 Choice,2,Science,none,#none
0002,ส่วนใดของสมองที่ควบคุมการทรงตัว,Cerebellum,Hypothalamus,Cerebrum,Medulla,4 Choice,3,Science,none,#none
0003,สัตว์เลี้ยงลูกด้วยนมชนิดใดที่วางไข่,ตุ่นปากเป็ด,จระเข้,โลมา,ค้างคาว,4 Choice,2,Science,none,#none
0004,วิตามินชนิดใดที่ร่างกายสร้างเองเมื่อได้รับแสงแดด,วิตามิน D,วิตามิน A,วิตามิน B,วิตามิน C,4 Choice,1,Science,none,#none
0005,ความเร็วเสียงไวกว่าความเร็วแสง,FALSE,TRUE,,,True False,2,Science,none,#none
0006,แม่เหล็กมีขั้วกี่ขั้ว,2,1,3,4,4 Choice,1,Science,none,#none
0007,แม่เหล็กขั้วเหนือจะผลักขั้วใต้เสมอ,FALSE,TRUE,,,True False,1,Science,none,#none
0008,ธาตุใดที่มีเลขอะตอมเท่ากับ 1,ไฮโดรเจน,ฮีเลียม,ลิเทียม,ออกซิเจน,4 Choice,3,Science,none,#none
0009,เรียงธาตุที่มีเลขอะตอมจากมากไปน้อย,ออกซิเจน,ไนโตรเจน,คาร์บอน,,Sorting,3,Science,none,#none
0010,1°C ร้อนกว่า 1°F,TRUE,FALSE,,,True False,2,Science,none,#none
0011,ในอากาศมีแก๊สชนิดใดมากที่สุด,ไนโตรเจน,ออกซิเจน,คาร์บอนไดออกไซด์,ไฮโดรเจน,4 Choice,2,Science,none,#none
0012,สัญลักษณ์ทางเคมีของทองคำคืออะไร,Au,Go,Fe,Gd,4 Choice,3,Science,none,#none
0013,ค่า pH ที่เป็นกลางคือ,7,5,6,8,4 Choice,2,Science,none,#none
0014,ดาวเคราะห์ดวงใดอยู่ใกล้ดวงอาทิตย์มากที่สุด,ดาวพุธ,ดาวอังคาร,ดาวศุกร์,โลก,4 Choice,1,Science,none,#none
0015,เราอาศัยอยู่ในชั้นบรรยากาศใดของโลก,troposphere,stratosphere,mesosphere,thermosphere,4 Choice,3,Science,none,#none
0016,เรียงวัสดุที่นำไฟฟ้าได้ดีที่สุดจากมากไปน้อย,เงิน,ทองแดง,ทอง,,Sorting,3,Science,none,#none
0017,สิ่งใดไม่ได้อยู่ในเลือด,น้ำเหลือง,เกล็ดเลือด,เม็ดเลือดขาว,เม็ดเลือดแดง,4 Choice,1,Science,none,#none
0018,หน่วยใดที่ใช้วัดปริมาณกระแสไฟฟ้า,แอมป์,โวลต์,วัตต์,โอห์ม,4 Choice,2,Science,none,#none
0019,หน่วยใดที่ใช้วัดความถี่ของคลื่น,เฮิรตซ์,นิวตัน,เมตร,แลมบ์ด้า,4 Choice,2,Science,none,#none
0020,แสงสีใดมีความยาวคลื่นสั้นที่สุด,ม่วง,เหลือง,เขียว,น้ำเงิน,4 Choice,2,Science,none,#none
0021,ดาวเคราะห์ดวงใดที่ใหญ่ที่สุดในระบบสุริยะ,ดาวพฤหัสบดี,ดาวเสาร์,ดาวเนปจูน,ดาวยูเรนัส,4 Choice,1,Science,none,#none
0022,ระบบใดที่ใช้ในการระบุตำแหน่ง,GPS,Bluetooth,Wi-Fi,NFC,4 Choice,1,Science,General,#none
0023,อวัยวะใดทำหน้าที่สูบฉีดเลือด,หัวใจ,ปอด,ตับ,ไต,4 Choice,1,Science,none,#none
0024,ผลไม้ที่ทำให้ Isaac Newton พบกฎแรงโน้มถ่วง,แอปเปิล,ส้ม,ลูกแพร์,แตงโม,4 Choice,1,Science,History,#none
0025,อวัยวะใดทำหน้าที่หลักในการดูดซึมสารอาหาร,ลำไส้เล็ก,ลำไส้ใหญ่,กระเพาะอาหาร,ตับอ่อน,4 Choice,1,Science,none,#none
0026,มนุษย์เพศชายมีโครโมโซมแบบใด,XY,XX,X,XO,4 Choice,2,Science,none,#none
0027,สัตว์ชนิดใดจัดเป็นสัตว์ไม่มีกระดูกสันหลัง,แมงมุม,นก,กบ,เป็ด,4 Choice,1,Science,none,#none
0028,ฮอร์โมนชนิดใดที่ควบคุมระดับน้ำตาลในเลือด,Insulin,Dopamine,Adrenaline,Estrogen,4 Choice,2,Science,none,#none
0029,ค่า pH 9 ถือว่าเป็นกรด,FALSE,TRUE,,,True False,2,Science,none,#none
0030,โอโซนมีออกซิเจนกี่อะตอม,3,1,2,4,4 Choice,3,Science,none,#none
0031,สิ่งใดที่ใช้หลักการสะท้อนของคลื่นเสียง,Ultrasound,X-ray,MRI,CT Scan,4 Choice,3,Science,none,#none
0032,เรียงลำดับความแข็งของหินแร่จากมากไปน้อย,เพชร,ควอตซ์,ยิปซัม,,Sorting,2,Science,none,#none
0033,สาเหตุของไข้มาลาเรียคือ,โปรโตซัว,ไวรัส,แบคทีเรีย,เชื้อรา,4 Choice,3,Science,none,#none
0034,สัตว์ชนิดใดที่เป็นสัตว์เลือดอุ่น,นก,ปลา,งู,กบ,4 Choice,1,Science,none,#none
0035,แหล่งพลังงานหลักที่สมองใช้ในการทำงานคือ,กลูโคส,ไขมัน,วิตามิน,โปรตีน,4 Choice,2,Science,none,#none
0036,ระบบภูมิคุ้มกันของร่างกายสร้างขึ้นจากอะไรเป็นหลัก,เม็ดเลือดขาว,เม็ดเลือดแดง,เกล็ดเลือด,พลาสมา,4 Choice,2,Science,none,#none
0037,เลนส์ชนิดใดที่ใช้ในการแก้ไขสายตายาว,เลนส์นูน,เลนส์เว้า,เลนส์กรองแสง,เลนส์ปรับแสง,4 Choice,1,Science,none,#none
0038,การทำงานของเรือดำน้ำอาศัยหลักการของใคร,Archimedes,Isaac Newton,Daniel Bernoulli,Albert Einstein,4 Choice,2,Science,none,#none
0039,มนุษย์มีกระดูกในร่างกายกี่ชิ้น,206,,,,Number Guessing,3,Science,none,#none
0040,หน่วยใดที่ใช้วัดความดัน,ปาสคาล,วัตต์,นิวตัน,จูล,4 Choice,2,Science,none,#none
0041,เสียงเดินทางผ่านตัวกลางใดได้ดีที่สุด,ของแข็ง,ของเหลว,แก๊ส,สุญญากาศ,4 Choice,2,Science,none,#none
0042,ธาตุที่เป็นส่วนประกอบหลักของเพชรคือ,คาร์บอน,ซิลิคอน,ทองแดง,ออกซิเจน,4 Choice,1,Science,none,#none
0043,อนุภาคที่มีประจุไฟฟ้าเป็นลบในอะตอมคืออะไร,อิเล็กตรอน,โปรตอน,นิวตรอน,โฟตอน,4 Choice,2,Science,none,#none
0044,ปรอทอยู่ในสถานะของเหลวที่อุณหภูมิห้อง,TRUE,FALSE,,,True False,1,Science,none,#none
0045,ดาวพฤหัสบดีมีดวงจันทร์บริวารกี่ดวง,92,,,,Number Guessing,3,Science,none,#none
0046,จุดเดือดของน้ำในหน่วย °F คือ,212,,,,Number Guessing,3,Science,General,#none
0047,การสแกนบาร์โค้ดใช้หลักการใดในการอ่านข้อมูล,แสง,เสียง,ความร้อน,แม่เหล็ก,4 Choice,2,Science,none,#none
0048,เรียงลำดับสัตว์ที่มีจำนวนขาจากมากไปน้อย,ตะขาบ,แมงมุม,มด,,Sorting,2,General,none,#none
0049,เรียงลำดับปีเกิดของนักวิทยาศาสตร์จากก่อนไปหลัง,Aristotle,Galileo Galilei,Albert Einstein,,Sorting,2,Science,none,#none
0050,เราใส่คลอรีนเพื่อฆ่าเชื้อโรคในน้ำ,TRUE,FALSE,,,True False,1,Science,none,#none
0051,อนุภาคนิวตรอนมีประจุไฟฟ้าเป็นบวก,FALSE,TRUE,,,True False,2,Science,none,#none
0052,กระดูกส่วนที่ใหญ่ที่สุดในร่างกายคือกระดูกต้นขา,TRUE,FALSE,,,True False,2,Science,none,#none
0053,โลมาเป็นสัตว์เลี้ยงลูกด้วยนม,TRUE,FALSE,,,True False,1,Science,none,#none
0054,Albert Einstein เป็นชาวอิตาลี,FALSE,TRUE,,,True False,1,Science,none,#none
0055,ฟุตบอลโลก 2022 จัดขึ้นที่ประเทศใด,กาตาร์,บราซิล,เยอรมนี,รัสเซีย,4 Choice,2,sports,none,#none
0056,นักฟุตบอลคนใดได้รางวัล Ballon d'Or มากที่สุด,Lionel Messi,Cristiano Ronaldo,Diego Maradona,Pele,4 Choice,1,sports,none,#none
0057,สโมสรฟุตบอลใดคว้าแชมป์ยูฟ่าแชมเปียนส์ลีกมากที่สุด,Real Madrid,Liverpool,Bayern Munich,Barcelona,4 Choice,2,sports,none,#none
0058,Old Trafford เป็นสนามเหย้าของทีมใด,Manchester United,Manchester City,Liverpool,Arsenal,4 Choice,1,sports,none,#none
0059,VAR ย่อมาจาก Video Assistant Review,FALSE,TRUE,,,True False,2,sports,none,#none
0060,นักบาสเกตบอลฉายา Black Mamba คือใคร,Kobe Bryant,Michael Jordan,LeBron James,Shaquille O'Neal,4 Choice,2,sports,none,#none
0061,ผู้เล่นคนใดทำคะแนนสูงสุดตลอดกาลใน NBA,LeBron James,Michael Jordan,Kobe Bryant,Stephen Curry,4 Choice,2,sports,none,#none
0062,ทีมที่คว้าแชมป์ NBA ในปี 2020 คือทีมอะไร,Los Angeles Lakers,Boston Celtics,Chicago Bulls,Golden State Warriors,4 Choice,3,sports,none,#none
0063,Grand Slam รายการใดที่เล่นบนคอร์ทดิน,French Open,U.S. Open,Wimbledon,Australian Open,4 Choice,2,sports,none,#Paris
0064,เรียงลำดับรายการ Grand Slam จากเก่าไปใหม่,Wimbledon,French Open,Australian Open,,Sorting,3,sports,none,#none
0065,นักเทนนิสชายคนใดคว้าแชมป์ Grand Slam ได้มากที่สุด,Novak Djokovic,Roger Federer,Rafael Nadal,Pete Sampras,4 Choice,2,sports,none,#none
0066,บาสเกตบอล NBA เล่นควอเตอร์ละกี่นาที,12,,,,Number Guessing,3,sports,none,#none
0067,นักกอล์ฟตีลูกออกนอกสนามเรียกว่าอะไร,OB,birdie,par,bogey,4 Choice,1,sports,none,#none
0068,สีเสื้อที่ Tiger Woods ชอบใส่คือสีอะไร,แดง,ขาว,ดำ,น้ำเงิน,4 Choice,1,sports,none,#none
0069,กอล์ฟรายการใดที่สวมแจ็คเก็ตสีเขียวให้ผู้ชนะ,The Masters,US Open,PGA,The Open,4 Choice,2,sports,none,#none
0070,ผู้ชนะรายการกอล์ฟ The Masters ปี 2024 คือใคร,Scottie Scheffler,John Rahm,Matsuyama Hideki,Tiger Woods,4 Choice,3,sports,none,#none
0071,Michael Phelps ได้เหรียญทองใน Olympic รวมทั้งหมดกี่เหรียญ,23,,,,Number Guessing,3,sports,none,#none
0072,นักมวยสากลสมัครเล่นรุ่นเฮฟวี่เวทต้องหนักมากกว่าเท่าไหร่,200 ปอนด์,175 ปอนด์,168 ปอนด์,215 ปอนด์,4 Choice,3,sports,none,#none
0073,ทีมวอลเลย์บอลมีผู้เล่นในสนามกี่คน,6,4,5,7,4 Choice,1,sports,none,#none
0074,ตำแหน่งตัวเล่นอิสระในวอลเลย์บอลเรียกว่าอะไร,Libero,Setter,Hitter,Blocker,4 Choice,2,sports,none,#none
0075,โลโก้ Olympic มีกี่ห่วง,5,4,6,7,4 Choice,1,sports,none,#none
0076,ห่วงตรงกลางของโลโก้ Olympic มีสีอะไร,ดำ,แดง,เหลือง,เขียว,4 Choice,2,sports,none,#none
0077,เจ้าภาพ Olympic ฤดูร้อนปี 2024 คือประเทศใด,ฝรั่งเศส,สหรัฐอเมริกา,ญี่ปุ่น,กาตาร์,4 Choice,1,sports,none,#Paris
0078,กีฬา Olympic จัดครั้งแรกที่ประเทศใด,กรีซ,เยอรมนี,อิตาลี,แคนาดา,4 Choice,1,sports,none,#none
0079,Sir Alex Ferguson คว้าแชมป์ Premier League ได้กี่สมัย,13,11,12,14,4 Choice,2,sports,none,#none
